City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,lejanias,3.5251,-74.0216,24.660000000000025,89,39,0.93,CO,1691185746
261,weno,7.4515,151.8468,27.110000000000014,80,97,0.96,FM,1691185746
262,selendi,38.7444,28.8678,26.710000000000036,37,0,0.77,TR,1691185747
263,dolores,-36.3132,-57.6792,8.870000000000005,58,0,2.4,AR,1691185747
264,calvinia,-31.4707,19.776,10.970000000000027,40,1,1.34,ZA,1691185748
265,afaahiti,-17.75,-149.2833,25.930000000000007,78,85,6.19,PF,1691185748
266,gangneung,37.7556,128.8961,29.310000000000002,77,6,2.95,KR,1691185749
267,kegeyli shahar,42.7767,59.6078,29.05000000000001,30,43,3.92,UZ,1691185749
268,sandnessjoen,66.0217,12.6316,12.29000000000002,93,75,2.06,NO,1691185750
269,susuman,62.7833,148.1667,12.620000000000005,49,9,1.56,RU,1691185750
270,buka,40.8108,69.1986,23.08000000000004,24,0,1.52,UZ,1691185751
271,jeddah,21.5169,39.2192,32.920000000000016,35,0,1.54,SA,1691185751
272,aasiaat,68.7098,-52.8699,3.3500000000000227,87,98,2.15,GL,1691185752
273,namibe,-15.1961,12.1522,17.49000000000001,75,3,1.16,AO,1691185752
274,glace bay,46.1969,-59.957,21.720000000000027,71,40,7.2,CA,1691185753
275,myanaung,18.2833,95.3167,25.58000000000004,82,99,2.07,MM,1691185754
276,tralee,52.2704,-9.7026,13.060000000000002,94,100,4.38,IE,1691185754
277,st. john's,47.5649,-52.7093,18.640000000000043,80,20,3.09,CA,1691185492
278,dakhla,23.6848,-15.958,21.010000000000048,88,0,11.32,EH,1691185755
279,port shepstone,-30.7414,30.455,17.970000000000027,55,100,3.55,ZA,1691185756
280,iquique,-20.2208,-70.1431,19.02000000000004,78,18,2.31,CL,1691185756
281,juneau,58.3019,-134.4197,22.28000000000003,100,40,4.63,US,1691185756
282,linxia chengguanzhen,35.6003,103.2064,17.720000000000027,74,77,1.63,CN,1691185757
283,port-gentil,-0.7193,8.7815,23.980000000000018,83,100,3.09,GA,1691185757
284,kendari,-3.945,122.4989,22.700000000000045,95,42,1.32,ID,1691185758
285,nuuk,64.1835,-51.7216,6.340000000000032,100,100,9.26,GL,1691185759
286,kamina,-8.7386,24.9906,17.350000000000023,40,0,2.04,CD,1691185759
287,saint marys,30.7305,-81.5465,28.33000000000004,80,94,4.12,US,1691185760
288,yuncheng,35.0231,110.9928,28.640000000000043,67,28,1.13,CN,1691185761
289,abu jibeha,11.4562,31.2285,23.960000000000036,71,49,1.29,SD,1691185762
290,chiredzi,-21.05,31.6667,13.960000000000036,65,1,0.76,ZW,1691185762
291,urumqi,43.801,87.6005,26.53000000000003,32,0,3.0,CN,1691185763
292,arsen'yev,44.1631,133.2733,18.100000000000023,99,100,1.55,RU,1691185763
293,paracuru,-3.41,-39.0306,26.730000000000018,79,24,6.49,BR,1691185764
294,atafu village,-8.5421,-172.5159,28.27000000000004,73,58,6.03,TK,1691185764
295,hammerfest,70.6634,23.6821,13.25,94,75,2.06,NO,1691185765
296,douentza,14.9951,-2.9517,31.200000000000045,53,79,3.5,ML,1691185765
297,vangaindrano,-23.35,47.6,18.99000000000001,73,100,2.48,MG,1691185766
298,quellon,-43.1167,-73.6167,8.140000000000043,93,75,0.0,CL,1691185766
299,tayu,-6.5397,111.0518,23.160000000000025,78,24,3.65,ID,1691185767
300,guaranesia,-21.2992,-46.8025,20.110000000000014,33,0,1.5,BR,1691185767
301,isafjordur,66.0755,-23.124,10.879999999999995,70,100,2.17,IS,1691185768
302,de aar,-30.6497,24.0123,11.270000000000039,46,17,2.87,ZA,1691185768
303,hajduhadhaz,47.6833,21.6667,22.720000000000027,69,66,4.89,HU,1691185769
304,cabo san lucas,22.8909,-109.9124,35.900000000000034,66,8,2.49,MX,1691185769
305,luanda,-8.8368,13.2343,22.0,83,75,3.6,AO,1691185633
306,quincy,42.2529,-71.0023,26.340000000000032,73,75,7.72,US,1691185548
307,mirnyy,62.5353,113.9611,14.020000000000039,82,100,4.92,RU,1691185772
308,hastings,50.8552,0.5729,16.660000000000025,31,100,3.97,GB,1691185773
309,kitui,-1.367,38.0106,15.920000000000016,73,98,2.41,KE,1691185773
310,defuniak springs,30.721,-86.1152,38.79000000000002,44,40,3.09,US,1691185506
311,eenhana,-17.4667,16.3333,15.28000000000003,31,0,3.16,NA,1691185774
312,hargeysa,9.56,44.065,23.77000000000004,43,100,12.49,SO,1691185774
313,iskushuban,10.2837,50.23,27.75,50,99,9.94,SO,1691185775
314,xilin hot,43.9667,116.0333,13.370000000000005,85,0,2.4,CN,1691185775
315,gereida,11.2811,25.1414,23.980000000000018,85,100,4.41,SD,1691185776
316,az zulfi,26.2995,44.8154,31.410000000000025,12,0,3.24,SA,1691185776
317,mugia,43.1041,-9.2179,17.730000000000018,76,5,7.88,ES,1691185777
318,phillip island,-38.4835,145.231,10.270000000000039,92,100,7.42,AU,1691185777
319,colonia,50.9333,6.95,16.640000000000043,83,0,1.03,DE,1691185778
